,P,Q
0,0.0,-0.0
1,-0.631195604801178,-0.0
2,0.0,-0.0
3,0.0,-0.0
4,0.0,-0.27586206793785095
5,0.0,-0.27586206793785095
6,0.0,-0.0
7,0.0,-0.0
8,0.0,-0.27586206793785095
9,0.0,-0.27586206793785095
10,0.0,-0.0
11,0.0,-0.27586206793785095
12,0.0,-0.0
13,0.0,-0.0
14,0.0,-0.27586206793785095
15,0.0,-0.0
16,0.0,-0.0
17,0.0,-0.27586206793785095
18,0.0,-0.27586206793785095
19,0.0,-0.0
20,-0.631195604801178,-0.27586206793785095
21,0.0,-0.0
22,0.0,-0.27586206793785095
23,0.0,-0.0
24,0.0,-0.0
25,0.0,-0.27586206793785095
26,0.0,-0.0
27,0.0,-0.27586206793785095
28,0.0,-0.0
29,0.0,-0.27586206793785095
30,0.0,-0.0
31,0.0,-0.0
32,0.0,-0.0
33,0.0,-0.0
34,0.0,-0.0
35,0.0,-0.27586206793785095
36,0.0,-0.27586206793785095
37,0.0,-0.0
38,0.0,-0.27586206793785095
39,0.0,-0.0
40,-0.631195604801178,-0.27586206793785095
41,0.0,-0.27586206793785095
42,0.0,-0.27586206793785095
43,0.0,-0.27586206793785095
44,0.0,-0.27586206793785095
45,0.0,-0.27586206793785095
46,0.0,-0.27586206793785095
47,0.0,-0.0
48,0.0,-0.27586206793785095
49,0.0,-0.27586206793785095
50,0.0,-0.0
51,0.0,-0.27586206793785095
52,0.0,-0.27586206793785095
53,0.0,-0.27586206793785095
54,0.0,-0.27586206793785095
55,0.0,-0.0
56,0.0,-0.0
57,0.0,-0.0
58,0.0,-0.0
59,0.0,-0.27586206793785095
60,0.0,-0.27586206793785095
61,0.0,-0.0
62,0.0,0.27586206793785095
63,0.0,-0.0
64,0.0,-0.27586206793785095
65,0.0,-0.27586206793785095
66,0.0,-0.27586206793785095
67,0.0,-0.0
68,0.0,-0.27586206793785095
69,0.0,-0.27586206793785095
70,0.0,-0.27586206793785095
71,0.0,-0.0
72,0.0,-0.0
73,0.0,-0.27586206793785095
74,0.0,-0.27586206793785095
75,0.0,-0.0
76,0.0,-0.0
77,0.0,-0.5517241358757019
78,0.0,-0.0
79,0.0,-0.0
80,0.0,-0.27586206793785095
81,0.0,-0.27586206793785095
82,0.0,-0.27586206793785095
83,0.0,-0.27586206793785095
84,0.0,-0.0
85,0.0,-0.0
86,0.0,-0.27586206793785095
87,0.0,-0.27586206793785095
88,0.0,-0.27586206793785095
89,0.0,-0.27586206793785095
90,0.0,-0.27586206793785095
91,0.0,-0.27586206793785095
92,0.0,-0.0
93,0.0,-0.0
94,0.0,-0.27586206793785095
95,0.0,-0.0
96,0.0,-0.0
97,0.0,-0.27586206793785095
98,0.0,-0.27586206793785095
99,0.0,-0.27586206793785095
100,2.524782419204712,-0.27586206793785095
101,2.524782419204712,-0.0
102,2.524782419204712,-0.27586206793785095
103,2.524782419204712,-0.0
104,2.524782419204712,-0.0
105,2.524782419204712,-0.0
106,2.524782419204712,-0.0
107,1.8935867547988892,-0.0
108,2.524782419204712,-0.0
109,1.8935867547988892,-0.27586206793785095
110,1.8935867547988892,-0.27586206793785095
111,1.8935867547988892,-0.27586206793785095
112,1.8935867547988892,-0.27586206793785095
113,1.8935867547988892,-0.0
114,1.8935867547988892,-0.0
115,1.8935867547988892,-0.27586206793785095
116,2.524782419204712,-0.0
117,1.8935867547988892,-0.27586206793785095
118,1.8935867547988892,-0.0
119,1.8935867547988892,-0.0
120,1.8935867547988892,-0.27586206793785095
121,1.262391209602356,-0.27586206793785095
122,1.8935867547988892,-0.0
123,1.8935867547988892,-0.0
124,1.8935867547988892,-0.27586206793785095
125,1.8935867547988892,-0.0
126,1.8935867547988892,-0.27586206793785095
127,1.8935867547988892,-0.0
128,1.8935867547988892,-0.0
129,1.8935867547988892,-0.0
130,1.8935867547988892,-0.27586206793785095
131,1.8935867547988892,-0.27586206793785095
132,1.8935867547988892,-0.0
133,1.8935867547988892,-0.0
134,1.8935867547988892,-0.27586206793785095
135,1.8935867547988892,-0.27586206793785095
136,1.8935867547988892,-0.27586206793785095
137,1.8935867547988892,-0.27586206793785095
138,1.8935867547988892,-0.0
139,1.8935867547988892,-0.0
140,1.8935867547988892,-0.0
141,1.8935867547988892,-0.27586206793785095
142,1.8935867547988892,-0.0
143,1.8935867547988892,-0.27586206793785095
144,1.8935867547988892,-0.27586206793785095
145,1.8935867547988892,-0.0
146,1.262391209602356,-0.0
147,1.8935867547988892,0.27586206793785095
148,1.8935867547988892,-0.0
149,1.8935867547988892,-0.27586206793785095
150,2.524782419204712,-0.0
151,3.155977964401245,-0.0
152,1.8935867547988892,-0.0
153,2.524782419204712,-0.27586206793785095
154,2.524782419204712,-0.0
155,2.524782419204712,-0.27586206793785095
156,2.524782419204712,-0.27586206793785095
157,2.524782419204712,-0.27586206793785095
158,2.524782419204712,-0.27586206793785095
159,2.524782419204712,-0.27586206793785095
160,3.155977964401245,-0.27586206793785095
161,2.524782419204712,-0.0
162,2.524782419204712,-0.0
163,2.524782419204712,-0.0
164,2.524782419204712,-0.27586206793785095
165,2.524782419204712,-0.0
166,3.155977964401245,-0.0
167,2.524782419204712,-0.27586206793785095
168,2.524782419204712,-0.27586206793785095
169,2.524782419204712,-0.0
170,2.524782419204712,-0.27586206793785095
171,2.524782419204712,-0.0
172,2.524782419204712,-0.0
173,2.524782419204712,-0.27586206793785095
174,2.524782419204712,-0.0
175,2.524782419204712,-0.27586206793785095
176,3.155977964401245,-0.0
177,2.524782419204712,-0.0
178,2.524782419204712,-0.0
179,2.524782419204712,-0.0
180,2.524782419204712,-0.0
181,2.524782419204712,-0.27586206793785095
182,2.524782419204712,-0.0
183,3.155977964401245,-0.27586206793785095
184,2.524782419204712,-0.0
185,2.524782419204712,-0.0
186,2.524782419204712,-0.0
187,2.524782419204712,-0.5517241358757019
188,3.155977964401245,-0.0
189,3.155977964401245,-0.27586206793785095
190,3.155977964401245,-0.0
191,3.155977964401245,-0.27586206793785095
192,3.155977964401245,-0.27586206793785095
193,2.524782419204712,-0.27586206793785095
194,2.524782419204712,-0.0
195,2.524782419204712,-0.27586206793785095
196,2.524782419204712,-0.27586206793785095
197,2.524782419204712,-0.27586206793785095
198,2.524782419204712,-0.0
199,2.524782419204712,-0.27586206793785095
200,3.7871735095977783,-0.27586206793785095
201,3.7871735095977783,-0.0
202,3.7871735095977783,-0.27586206793785095
203,3.7871735095977783,-0.27586206793785095
204,3.7871735095977783,-0.27586206793785095
205,3.7871735095977783,-0.0
206,3.7871735095977783,-0.5517241358757019
207,3.7871735095977783,-0.0
208,3.7871735095977783,-0.27586206793785095
209,3.7871735095977783,-0.0
210,4.418369293212891,-0.27586206793785095
211,3.7871735095977783,-0.0
212,3.7871735095977783,-0.27586206793785095
213,3.7871735095977783,-0.27586206793785095
214,3.7871735095977783,-0.0
215,3.7871735095977783,-0.27586206793785095
216,3.7871735095977783,-0.0
217,3.7871735095977783,-0.0
218,3.7871735095977783,-0.27586206793785095
219,3.7871735095977783,-0.27586206793785095
220,3.7871735095977783,-0.27586206793785095
221,3.7871735095977783,-0.27586206793785095
222,3.7871735095977783,-0.27586206793785095
223,3.7871735095977783,-0.27586206793785095
224,3.7871735095977783,-0.0
225,3.7871735095977783,-0.27586206793785095
226,3.7871735095977783,-0.27586206793785095
227,3.7871735095977783,-0.27586206793785095
228,3.7871735095977783,-0.27586206793785095
229,3.7871735095977783,-0.0
230,3.7871735095977783,-0.0
231,3.7871735095977783,-0.27586206793785095
232,3.7871735095977783,-0.27586206793785095
233,3.7871735095977783,-0.0
234,3.7871735095977783,-0.27586206793785095
235,3.7871735095977783,-0.0
236,3.7871735095977783,-0.27586206793785095
237,3.7871735095977783,-0.27586206793785095
238,3.7871735095977783,-0.27586206793785095
239,3.7871735095977783,-0.0
240,3.7871735095977783,-0.0
241,3.7871735095977783,-0.0
242,3.7871735095977783,-0.0
243,3.7871735095977783,-0.0
244,3.7871735095977783,-0.27586206793785095
245,3.7871735095977783,-0.27586206793785095
246,3.7871735095977783,-0.0
247,3.7871735095977783,-0.27586206793785095
248,3.7871735095977783,-0.27586206793785095
249,3.7871735095977783,0.27586206793785095
250,5.049564838409424,-0.27586206793785095
251,5.049564838409424,-0.27586206793785095
252,4.418369293212891,-0.27586206793785095
253,5.049564838409424,-0.27586206793785095
254,4.418369293212891,-0.27586206793785095
255,5.049564838409424,-0.0
256,5.049564838409424,-0.27586206793785095
257,5.049564838409424,-0.0
258,4.418369293212891,-0.0
259,5.049564838409424,-0.27586206793785095
260,4.418369293212891,-0.0
261,5.049564838409424,-0.0
262,5.049564838409424,-0.0
263,4.418369293212891,-0.0
264,5.049564838409424,-0.27586206793785095
265,4.418369293212891,-0.0
266,5.049564838409424,-0.0
267,5.049564838409424,-0.0
268,4.418369293212891,-0.27586206793785095
269,4.418369293212891,-0.0
270,5.049564838409424,-0.27586206793785095
271,5.049564838409424,-0.0
272,5.049564838409424,-0.27586206793785095
273,5.049564838409424,-0.0
274,5.049564838409424,-0.27586206793785095
275,5.049564838409424,-0.0
276,5.049564838409424,-0.0
277,4.418369293212891,-0.0
278,5.049564838409424,-0.0
279,5.049564838409424,-0.0
280,4.418369293212891,-0.27586206793785095
281,4.418369293212891,-0.0
282,5.049564838409424,-0.0
283,5.049564838409424,-0.27586206793785095
284,5.049564838409424,-0.27586206793785095
285,5.049564838409424,-0.27586206793785095
286,5.049564838409424,-0.27586206793785095
287,5.049564838409424,-0.27586206793785095
288,4.418369293212891,-0.27586206793785095
289,5.049564838409424,-0.27586206793785095
290,5.049564838409424,-0.27586206793785095
291,4.418369293212891,-0.0
292,5.049564838409424,-0.27586206793785095
293,5.049564838409424,-0.27586206793785095
294,5.049564838409424,-0.0
295,5.049564838409424,-0.5517241358757019
296,5.049564838409424,-0.27586206793785095
297,5.049564838409424,-0.27586206793785095
298,5.049564838409424,-0.27586206793785095
299,5.049564838409424,-0.27586206793785095
300,5.680760383605957,-0.0
301,5.680760383605957,-0.0
302,5.680760383605957,-0.27586206793785095
303,5.680760383605957,-0.27586206793785095
304,5.680760383605957,-0.27586206793785095
305,5.680760383605957,-0.0
306,5.680760383605957,-0.0
307,5.680760383605957,-0.27586206793785095
308,5.680760383605957,-0.27586206793785095
309,5.680760383605957,-0.27586206793785095
310,5.680760383605957,-0.27586206793785095
311,5.680760383605957,-0.27586206793785095
