Protocol Description
;Protocol name: ELISA 450nm
;Result File name: \Thumb Drive\Promega\Data\CSV\N2A100621_ELISA 450nm_10-06-2021_21-41-59.csv
;Total steps: 1


Step 1;Absorbance;450nm, 1 repeat, 96 well plate
PlateResults
;Read 1;450;nm
;;1;2;3;4;5;6;7;8;9;10;11;12
;A;2,018699;2,042031;2,035878;2,022398;2,004807;2,041945;2,046226;2,032803;2,026511;2,047624;2,016986;2,156846
;B;1,973769;1,963749;1,949643;0,1681632;0,1745819;0,1744578;0,1771074;0,2683942;0,1691025;0,3267033;0,1690594;0,1631733
;C;1,759748;1,839638;1,394302;1,968488;1,946724;0,1629154;1,505982;1,232338;1,014314;1,127996;1,006019;0,832605
;D;1,177076;1,070834;0,6916102;0,8286411;0,7650177;1,846838;0,5378968;0,477591;0,4715931;0,5908011;0,5405015;0,4124603
;E;0,9476956;0,6458877;0,421353;0,2599212;0,1937246;0,4246712;0,1717444;0,1695049;0,1692084;0,1743506;0,1668288;0,1648865
;F;0,7631415;1,28566;1,432892;1,591312;1,521064;2,102351;2,057864;2,055404;2,021239;2,009549;2,042783;2,011983
;G;2,023147;2,037394;2,026183;0,1692863;2,078684;2,145769;2,082916;2,094893;0,1618705;0,1608979;0,1661031;0,1784518
;H;0,1901354;0,1808179;0,1742383;0,1702762;0,1767989;0,1642345;0,1555457;0,1631407;0,1638745;0,2289974;0,4112067;0,162017

Results
;Ref1(on);38722,1
;Ref1(off);0,578812
;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
;371,476;352,076;357,091;368,33;383,532;352,145;348,697;359,624;364,864;347,578;372,942;270,419;411,902;421,503;435,399;26290,5;25904,8;25912,2;25754,6;20872,3;26233,7;18250;26236,3;26594,3;673,872;560,742;1562,47;416,934;438,331;26610,1;1208,31;2268,43;3747,19;2884,32;3819,44;5693,66;2576,17;3289,99;7877,24;5745,86;6652,31;551,531;11222,2;12893,8;13073,1;9935,2;11155,1;14979,9;4368,32;8751,72;14676,3;21283,5;24787,8;14564,6;26074,6;26209,4;26227,3;25918,6;26371,4;26489,6;6681,11;2006,4;1429,67;992,874;1167,09;306,494;339,492;341,417;369,313;379,373;351,468;377,256;367,697;355,849;365,139;26222,6;323,628;277,39;320,495;311,793;26674,2;26734;26415,5;25675;24993,5;25535,5;25925,3;26162,9;25772,9;26529,4;27065,5;26596,3;26551,4;22854,2;15023,2;26665,2


Notes for the assay run: Enter Notes
