Gap 60
Point No.	Déformation de Cisaillement	Contrainte de Cisaillement	Module de Stockage	Module de Perte	Facteur de Perte	Couple	Etat
							
	[1]	[Pa]	[Pa]	[Pa]	[1]	[µN·m]	
1	0,0627	21,229	288,71	177,24	0,614	97,747	M- ,WE-,WMa
2	0,0715	21,498	256,68	156,78	0,611	98,983	M- ,WE-,WMa
3	0,0759	21,574	244,94	144,1	0,588	99,334	M- ,WE-,WMa
4	0,071	21,665	261,39	157,16	0,601	99,752	M- ,WE-,WMa
5	0,0706	21,669	265,74	153,95	0,579	99,771	M- ,WE-,WMa
6	0,0707	21,712	267,4	150,65	0,563	99,968	M- ,WE-,WMa
7	0,0708	21,719	268,69	148,25	0,552	100	M- ,WE-,WMa
8	0,0708	21,737	270,19	146,18	0,541	100,08	M- ,WE-,WMa
9	0,0708	21,753	271,4	143,93	0,530	100,16	M- ,WE-,WMa
10	0,0678	21,94	280,79	160,77	0,573	101,02	M- ,WE-,WMa
11	0,0651	21,712	292,29	161,11	0,551	99,97	M- ,WE-,WMa
12	0,0645	21,739	297,07	158,64	0,534	100,09	M- ,WE-,WMa
13	0,0641	21,757	300,68	156,95	0,522	100,18	M- ,WE-,WMa
14	0,0642	21,856	303,13	155,21	0,512	100,63	M- ,WE-,WMa
15	0,0757	24,511	291,44	141,47	0,485	112,86	M- 
16	0,098	27,878	255,52	124,9	0,489	128,36	M- 
17	0,128	31,146	216,47	109,64	0,506	143,41	M- 
18	0,165	34,598	186,22	96,52	0,518	159,3	M- 
19	0,213	37,734	155,36	84,787	0,546	173,74	M- 
20	0,276	41,278	129,21	75,186	0,582	190,06	M- 
21	0,357	45,404	107,76	67,493	0,626	209,06	
22	0,461	49,857	89,173	61,003	0,684	229,56	
23	0,598	54,689	73,2	54,93	0,750	251,81	
24	0,774	59,672	58,889	49,768	0,845	274,75	
25	1	65,059	46,761	45,003	0,962	299,56	
1	1	63,551	44,221	45,266	1,024	292,61	
2	0,771	56,847	53,348	50,88	0,954	261,74	
3	0,595	50,227	62,975	56,16	0,892	231,26	
4	0,46	44,404	74,226	61,863	0,833	204,45	
5	0,355	38,942	86,475	67,672	0,783	179,3	M- 
6	0,274	34,281	100,64	74,421	0,739	157,84	M- 
7	0,211	30,101	116,02	82,872	0,714	138,6	M- 
8	0,163	26,582	133,85	93,474	0,698	122,39	M- 
9	0,126	23,49	155	104,89	0,677	108,15	M- 
10	0,104	21,605	173,97	114,4	0,658	99,479	M- ,WE-,WMa
11	0,0976	21,214	183,86	116,03	0,631	97,677	M- ,WE-,WMa
12	0,0967	21,264	187,58	114,89	0,613	97,909	M- ,WE-,WMa
13	0,0955	21,293	191,38	114,57	0,599	98,039	M- ,WE-,WMa
14	0,0955	21,336	192,87	112,55	0,584	98,241	M- ,WE-,WMa
15	0,0953	21,345	194,29	111,25	0,573	98,279	M- ,WE-,WMa
16	0,0952	21,38	195,79	109,87	0,561	98,443	M- ,WE-,WMa
17	0,0939	21,564	198,5	115,29	0,581	99,286	M- ,WE-,WMa
18	0,0861	21,393	212,62	128,56	0,605	98,5	M- ,WE-,WMa
19	0,0843	21,383	218,12	129,29	0,593	98,456	M- ,WE-,WMa
20	0,0834	21,407	221,94	129,21	0,582	98,564	M- ,WE-,WMa
21	0,0832	21,423	223,64	127,68	0,571	98,64	M- ,WE-,WMa
22	0,0827	21,454	226,23	127,28	0,563	98,781	M- ,WE-,WMa
23	0,082	21,47	228,78	127,21	0,556	98,857	M- ,WE-,WMa
24	0,0818	21,48	230,15	126,39	0,549	98,904	M- ,WE-,WMa
25	0,0816	21,516	231,88	125,44	0,541	99,067	M- ,WE-,WMa


