Gap 60

Point No.	Déformation de Cisaillement	Contrainte de Cisaillement	Module de Stockage	Module de Perte	Facteur de Perte	Couple	Etat
							
	[1]	[Pa]	[Pa]	[Pa]	[1]	[µN·m]	
1	0,0818	21,737	245,17	102,18	0,417	100,09	M- ,WE-,WMa
2	0,0818	21,882	248,24	99,37	0,400	100,75	M- ,WE-,WMa
3	0,0805	21,91	254,03	97,881	0,385	100,88	M- ,WE-,WMa
4	0,0793	21,931	259,19	96,897	0,374	100,98	M- ,WE-,WMa
5	0,0779	21,94	264,58	96,551	0,365	101,02	M- ,WE-,WMa
6	0,0768	21,954	269,15	96,122	0,357	101,08	M- ,WE-,WMa
7	0,0758	21,951	273,31	95,773	0,350	101,07	M- ,WE-,WMa
8	0,0749	21,976	277,59	95,574	0,344	101,19	M- ,WE-,WMa
9	0,0739	21,97	281,64	95,651	0,340	101,16	M- ,WE-,WMa
10	0,073	21,983	285,72	95,439	0,334	101,22	M- ,WE-,WMa
11	0,0722	21,99	289,35	95,655	0,331	101,25	M- ,WE-,WMa
12	0,0713	21,991	293,3	95,476	0,326	101,25	M- ,WE-,WMa
13	0,0707	21,97	295,96	95,303	0,322	101,16	M- ,WE-,WMa
14	0,0702	21,992	298,67	95,016	0,318	101,26	M- ,WE-,WMa
15	0,0742	23,376	301,05	93,167	0,309	107,63	M- 
16	0,0982	29,11	283,45	86,434	0,305	134,03	M- 
17	0,129	34,238	253,89	80,012	0,315	157,64	M- 
18	0,168	38,718	218,92	74,148	0,339	178,27	M- 
19	0,217	43,073	186,11	69,812	0,375	198,33	M- 
20	0,28	47,656	157,25	65,257	0,415	219,42	
21	0,361	52,76	132,61	61,671	0,465	242,92	
22	0,465	58,488	111,54	57,841	0,519	269,3	
23	0,601	64,879	93,564	53,821	0,575	298,73	
24	0,774	71,539	77,66	50,135	0,646	329,39	
25	1	79,209	63,941	46,458	0,727	364,71	
1	1	78,253	62,443	47,161	0,755	360,31	
2	0,771	69,012	73,811	50,644	0,686	317,76	
3	0,595	60,67	86,22	54,471	0,632	279,35	
4	0,459	53,274	100,11	58,838	0,588	245,29	
5	0,354	46,67	115,47	63,596	0,551	214,89	
6	0,273	40,788	132,32	69,085	0,522	187,8	M- 
7	0,211	35,473	150,95	74,568	0,494	163,33	M- 
8	0,163	31,199	173,27	82,686	0,477	143,65	M- 
9	0,125	27,114	196,84	89,103	0,453	124,85	M- 
10	0,0975	23,083	216,75	95,264	0,440	106,28	M- 
11	0,0863	21,815	233,66	96,455	0,413	100,44	M- ,WE-,WMa
12	0,0837	21,789	242,15	95,904	0,396	100,33	M- ,WE-,WMa
13	0,0819	21,804	248,56	95,804	0,385	100,39	M- ,WE-,WMa
14	0,0803	21,823	254,53	95,611	0,376	100,48	M- ,WE-,WMa
15	0,0789	21,832	259,48	95,631	0,369	100,52	M- ,WE-,WMa
16	0,0777	21,845	264,47	95,625	0,362	100,58	M- ,WE-,WMa
17	0,0765	21,855	269,04	95,554	0,355	100,63	M- ,WE-,WMa
18	0,0765	21,838	268,56	96,265	0,358	100,55	M- ,WE-,WMa
19	0,0752	21,871	274,85	95,454	0,347	100,7	M- ,WE-,WMa
20	0,0742	21,874	279,09	95,409	0,342	100,72	M- ,WE-,WMa
21	0,0734	21,878	282,46	95,341	0,338	100,73	M- ,WE-,WMa
22	0,0725	21,881	286,18	95,206	0,333	100,75	M- ,WE-,WMa
23	0,0718	21,896	289,84	95,451	0,329	100,82	M- ,WE-,WMa
24	0,071	21,895	293,21	95,409	0,325	100,81	M- ,WE-,WMa
25	0,0703	21,902	296,6	95,55	0,322	100,85	M- ,WE-,WMa


