Point No.	Déformation de Cisaillement	Contrainte de Cisaillement	Module de Stockage	Module de Perte	Facteur de Perte	Couple	Etat
							
	[1]	[Pa]	[Pa]	[Pa]	[1]	[µN·m]	
1	0,0688	21,71	269,86	163,73	0,607	99,963	M- ,WE-,WMa
2	0,0658	21,779	287	164,94	0,575	100,28	M- ,WE-,WMa
3	0,0631	21,823	303,08	166,58	0,550	100,48	M- ,WE-,WMa
4	0,0609	21,863	317,29	167,8	0,529	100,66	M- ,WE-,WMa
5	0,059	21,882	330,31	168,86	0,511	100,75	M- ,WE-,WMa
6	0,0575	21,884	340,53	169,73	0,498	100,76	M- ,WE-,WMa
7	0,0559	21,927	353,32	169,6	0,480	100,96	M- ,WE-,WMa
8	0,0546	21,96	365,08	169,55	0,464	101,11	M- ,WE-,WMa
9	0,0535	21,952	373,95	168,88	0,452	101,07	M- ,WE-,WMa
10	0,0523	21,991	385,17	169,53	0,440	101,25	M- ,WE-,WMa
11	0,0512	21,975	394,18	169,53	0,430	101,18	M- ,WE-,WMa
12	0,0504	22,01	402,89	168,98	0,419	101,34	M- ,WE-,WMa
13	0,0496	22,036	411,02	168,64	0,410	101,46	M- ,WE-,WMa
14	0,0579	25,194	403,7	162,96	0,404	116	M- 
15	0,0759	30,313	368,69	152,87	0,415	139,57	M- 
16	0,0988	35	323,89	143,55	0,443	161,15	M- 
17	0,128	39,918	280,47	135	0,481	183,8	M- 
18	0,166	44,759	238,89	125,57	0,526	206,09	
19	0,214	50,492	203,88	117,7	0,577	232,48	
20	0,275	56,1	171,86	109,61	0,638	258,31	
21	0,356	63,256	145,91	101,49	0,696	291,25	
22	0,461	71,437	122,79	94,68	0,771	328,92	
23	0,597	80,275	101,93	87,858	0,862	369,62	
24	0,773	89,996	83,756	80,921	0,966	414,38	
25	1	100,53	68,188	73,75	1,082	462,9	
1	0,999	99,862	66,84	74,266	1,111	459,8	
2	0,77	87,488	79,087	81,494	1,030	402,83	
3	0,595	76,48	93,169	88,665	0,952	352,14	
4	0,459	66,942	109,84	96,052	0,874	308,23	
5	0,354	58,383	128,89	102,93	0,799	268,82	
6	0,273	50,835	149,81	110,52	0,738	234,06	
7	0,211	43,884	171	117,99	0,690	202,06	
8	0,162	37,913	195,76	127,13	0,649	174,57	M- 
9	0,125	33,004	224,5	137,93	0,614	151,96	M- 
10	0,0965	28,611	256,89	147,92	0,576	131,73	M- 
11	0,0745	25,206	299,36	157,83	0,527	116,06	M- 
12	0,0591	22,021	332,9	168	0,505	101,39	M- ,WE-,WMa
13	0,0562	21,884	351,2	168,07	0,479	100,76	M- ,WE-,WMa
14	0,0543	21,889	366,18	168,14	0,459	100,79	M- ,WE-,WMa
15	0,0529	21,926	378,76	168,04	0,444	100,96	M- ,WE-,WMa
16	0,0517	21,928	389,57	167,94	0,431	100,97	M- ,WE-,WMa
17	0,0507	21,946	399,34	167,85	0,420	101,05	M- ,WE-,WMa
18	0,0497	21,953	408,4	168,11	0,412	101,08	M- ,WE-,WMa
19	0,0489	21,961	416,82	168,1	0,403	101,12	M- ,WE-,WMa
20	0,0482	21,97	424,14	167,93	0,396	101,16	M- ,WE-,WMa
21	0,0475	21,974	431,05	168,16	0,390	101,18	M- ,WE-,WMa
22	0,0469	21,983	437,42	168,24	0,385	101,22	M- ,WE-,WMa
23	0,0463	21,983	443,78	168,41	0,379	101,22	M- ,WE-,WMa
24	0,0457	21,986	450,54	168,7	0,374	101,23	M- ,WE-,WMa
25	0,0452	21,987	456,28	168,92	0,370	101,24	M- ,WE-,WMa

