Gap 100

Point No.	Déformation de Cisaillement	Contrainte de Cisaillement	Module de Stockage	Module de Perte	Facteur de Perte	Couple	Etat
							
	[1]	[Pa]	[Pa]	[Pa]	[1]	[µN·m]	
1	0,0675	21,198	292,76	113,79	0,389	97,605	M- ,WE-,WMa
2	0,0765	21,67	262,25	107,47	0,410	99,776	M- ,WE-,WMa
3	0,0782	21,699	256,55	105,91	0,413	99,909	M- ,WE-,WMa
4	0,0786	21,7	255,35	105,35	0,413	99,915	M- ,WE-,WMa
5	0,0784	21,717	256,18	105,15	0,410	99,991	M- ,WE-,WMa
6	0,0781	21,733	257,56	105,13	0,408	100,07	M- ,WE-,WMa
7	0,0776	21,734	259,38	105,24	0,406	100,07	M- ,WE-,WMa
8	0,0774	21,727	260,64	104,4	0,401	100,04	M- ,WE-,WMa
9	0,0769	21,774	262,95	105,12	0,400	100,25	M- ,WE-,WMa
10	0,0764	21,786	264,97	105,25	0,397	100,31	M- ,WE-,WMa
11	0,0759	21,792	266,85	105,47	0,395	100,34	M- ,WE-,WMa
12	0,0755	21,797	268,62	105,57	0,393	100,36	M- ,WE-,WMa
13	0,0751	21,813	270,52	105,68	0,391	100,43	M- ,WE-,WMa
14	0,0754	21,886	270,38	105,51	0,390	100,77	M- ,WE-,WMa
15	0,0771	22,129	267,81	103,48	0,386	101,89	M- ,WE-
16	0,0976	25,795	247,6	92,416	0,373	118,77	M- 
17	0,127	29,704	217,89	83,225	0,382	136,77	M- 
18	0,165	33,439	187,51	76,77	0,409	153,96	M- 
19	0,214	37,573	160,09	72,492	0,453	173	M- 
20	0,276	41,716	134,63	68,557	0,509	192,07	M- 
21	0,357	46,33	112,89	63,942	0,566	213,32	
22	0,462	51,444	93,84	59,972	0,639	236,87	
23	0,599	56,656	76,624	55,558	0,725	260,87	
24	0,773	61,58	61,378	50,737	0,827	283,54	
25	1	66,377	48,159	45,487	0,945	305,62	
1	1	65,866	47,544	45,561	0,958	303,27	
2	0,772	58,531	56,486	50,627	0,896	269,5	
3	0,596	52,583	68,51	55,69	0,813	242,11	
4	0,46	46,956	82,093	60,831	0,741	216,2	
5	0,354	41,721	98,061	65,14	0,664	192,1	M- 
6	0,274	36,81	115,25	69,5	0,603	169,49	M- 
7	0,211	32,007	132,48	74,027	0,559	147,37	M- 
8	0,163	27,991	151,99	80,349	0,529	128,88	M- 
9	0,126	24,284	172,34	87,707	0,509	111,81	M- 
10	0,105	21,983	186,99	93,227	0,499	101,22	M- ,WE-,WMa
11	0,0993	21,538	195,08	94,69	0,485	99,171	M- ,WE-,WMa
12	0,0956	21,229	200,51	95,615	0,477	97,745	M- ,WE-,WMa
13	0,0944	21,247	203,73	95,593	0,469	97,829	M- ,WE-,WMa
14	0,0936	21,28	206,27	95,468	0,463	97,979	M- ,WE-,WMa
15	0,0939	21,287	205,74	95,305	0,463	98,014	M- ,WE-,WMa
16	0,0924	21,334	210,34	95,435	0,454	98,228	M- ,WE-,WMa
17	0,0916	21,329	212,45	95,565	0,450	98,205	M- ,WE-,WMa
18	0,0909	21,359	214,51	95,595	0,446	98,345	M- ,WE-,WMa
19	0,0904	21,371	216,24	95,565	0,442	98,4	M- ,WE-,WMa
20	0,0898	21,387	218,1	95,772	0,439	98,474	M- ,WE-,WMa
21	0,0893	21,403	219,64	95,71	0,436	98,546	M- ,WE-,WMa
22	0,0888	21,415	221,41	95,831	0,433	98,601	M- ,WE-,WMa
23	0,0884	21,43	222,68	95,676	0,430	98,673	M- ,WE-,WMa
24	0,0879	21,437	224,36	95,851	0,427	98,703	M- ,WE-,WMa
25	0,0874	21,458	225,87	95,887	0,425	98,802	M- ,WE-,WMa

